rollback_dt,jdb_id,service_fee,逾期天数,逾期金额,逾期债务数,最小利率,最大利率,首笔借款当前是否逾期,是否首次逾期,历史借款次数含展期,历史借款次数不含展期,历史非逾期还款次数,历史逾期还款次数,前14天外呼数,前14天接通数,前14天接通时长
1,994651508253356035,47.32,539,1697.08,1,0,0,,,10,10,21,13,0,0,0
1,991702609754554370,4.76,113,1442.13,1,0,0,,,345,6,5,19,6,0,0
1,991702609754554370,4.76,107,1531.48,1,0,0,,,345,6,5,18,7,1,18
1,991702609754554370,4.76,101,1620.47,1,0,0,,,345,6,5,17,7,1,18
1,989902426767065089,462.94,240,141303.22,7,24,24,,,1879,1018,2345,111,6,5,40
1,989902426767065089,41.06,224,140755.4,8,12,24,,,1868,1015,2318,110,7,5,53
1,987120068330479622,15.7,184,21703.25,6,0,24,,,373,97,208,7,7,0,0
1,986187036023009283,657.67,59,19906.42,2,0,0,,,16,13,12,1,0,0,0
1,983056293755301897,1039.62,113,150031.06,5,0,15.4,,,191,170,180,8,6,0,0
1,985949650357796872,503.23,92,24881.81,3,2,3,,,151,112,123,10,0,0,0
1,985949650357796872,204.67,85,28887.26,4,2,3,,,151,112,123,9,0,0,0
1,968597585478500360,368.05,91,7358.44,2,10,15.4,,,206,95,107,52,6,0,0
1,968102487607164936,249.99,148,172376.05,5,1,2,,,2362,1340,1782,37,6,0,0
1,967961201109594119,0.48,94,3162.22,2,24,24,,是,6,6,13,6,6,0,0
1,967961201109594119,0.96,87,3167.12,2,24,24,,是,6,6,13,5,6,0,0
1,978257609838526465,24.99,46,18916.21,7,0,15,,,721,74,266,13,0,0,0
1,976550135351697410,150.64,62,64578.94,5,0,14,,,566,315,414,28,0,0,0
1,975099845498855433,129.47,84,2588.49,1,5,5,,,62,48,36,12,0,0,0
1,974345188837122051,171.26,838,3424.06,2,24,24,是,,12,2,2,3,7,4,38
1,973973711298187264,0.04,851,4676.85,4,24,24,,是,22,22,18,0,0,0,0
1,969705653788430341,444.11,689,8878.39,1,12,12,是,是,1,1,0,0,0,0,0
1,967377034621702150,360.45,81,25771.41,10,0,0,,,472,155,167,17,6,0,0
1,956888649553633287,9.99,511,10870.01,3,18,24,,,49,46,72,23,6,2,12
1,951177627979182087,100.5,621,23788,3,1,24,,,570,73,123,17,6,0,0
1,940920855737618439,7.99,77,63279.54,13,0,15,,,670,255,416,33,6,4,84
